id,rdfs_label,name,ct_iri
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000057,fibroblast,fibroblast,http://purl.obolibrary.org/obo/CL_0000057
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000359,vascular associated smooth muscle cell,vascular smooth muscle cell,http://purl.obolibrary.org/obo/CL_0000359
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:0000071,blood vessel endothelial cell,blood vessel endothelial cell,http://purl.obolibrary.org/obo/CL_0000071
CL:1000413,endothelial cell of artery,endothelial cell of artery,http://purl.obolibrary.org/obo/CL_1000413
